Ordogu&#351fal&#259;u (Harghita, în nuvelele lui nagypali :P ) : Ördögösfalu (nagypali novelláiban :P) : 0 :  (hn+ar)
Consiliul European (European Council) : Európai Tanács : 0 : 
Compania Na&#355;ional&#259; a Huilei CNH : Országos K&#337;szén Vállalat : 0 : 
Mi&#351;carea Angajament Civic CEMO : Civil Elkötelezettség Mozgalom (Marosvásárhely. Lásd Civic Engagement Movement, www.cemo.ro) : 0 : 
Direc&#355;ia Sanitar Veterinar&#259; &#351;i pentru Siguran&#355;a Alimentelor DSVSA : Állategészségügyi és Élelmiszerbiztonsági Igazgatóság : 0 : 
Pre&#355; Reglementat (PR) &#8211; reprezint&#259; pre&#355;ul stabilit &#351;i/sau comunicat de Autoritatea Competent&#259;; : szabályozott ár -- reglementarea pre&#355;urilor: árszabályozás : 0 : 
Ziua siguran&#355;ei pe Internet, Safer Internet Day : a Biztonságos Internet Napja (2011-ben február 8-án) : 0 : 
biroul permanent (parlament) : állandó bizottság : 0 : 

Autoritatea pentru Coordonarea Instrumentelor Structurale : A Strukturális Alapok felhasználását Irányító Hatóság : 0 : 
dosar penal : b&#369;nügyi dosszié (transindex) : 0 : 
trafic de influen&#355;&#259; : befolyással (való) üzérkedés : 0 : 
Blocul Na&#355;ional Sindical (BNS) : Országos Szakszervezeti Tömb : 0 : 
Agen&#355;ia Na&#355;ional&#259; pentru Protec&#355;ia Mediului ANPM : Országos Környezetvédelmi Hatóság : 0 : 
&#350;omcuta Mare (Maramure&#351) : Nagysomkút (Máramaros megye) : 0 :  (hn+ar)
zon&#259; defavorizat&#259; v. zone defavorizate : hátrányos helyzet&#369; terület (Frr5: eurl3x) : 0 : 
licen&#355;&#259; de transport / certificat de transport : szállítói engedély (sok guglizás után: neten úgy t&#369;nik, ezek egyenérték&#369;ek) : 0 : 
Societatea Româna de Radiodifuziune : Román Rádió Társaság (3ls&#337; bblexe) : 0 : 
Autoritatea Na&#355;ional&#259; de Tineret &#351;i Sport : Országos Ifjúsági és Sporthatóság : 0 : 
Partidul Na&#355;ional &#354;&#259;r&#259;nesc Cre&#351;tin Democrat : Keresztény-Demokrata Nemzeti Paraszt Párt : 0 : 
&#350;elimb&#259;r (jud. Sibiu) : Sellenberk (hu), Schellenberg (szász) (Szeben megye) : 0 :  (hn+ar)
Federa&#355;ia Sindicatelor Libere din Înv&#259;&#355;&#259;mânt : Szabad Tanügyi Szakszervezetek Szövetsége : 0 : 
ziua interna&#355;ional&#259; / ziua mondial&#259; / international day (of) / world (pl. peace)  day : <b>VILÁGNAP</b> - így fordítjuk, hacsak a hagyományossá vált elnevezések nem diktálják másképp. Az ENSz, UNESCO stb. kijelöli a napokat. Aztán fordítsuk: &quot;Nemzetközi táncnap&quot; vagy &quot;A Tánc Világnapja&quot;,  Angolul &quot;International Day of Peace, also known as the World Peace Day&quot;. Javaslat: 1) rákeresünk, van-e magyar változat egy normatív helyen (vagyis pl. az Akadémia honlapján, de a wiki sem rossz. Viszont nem Pistike blogján).  2) Ha nincs, akkor a magyarítás tartsa szem el&#337;tt, hogy a magyar szintetikus, tömörségre törekv&#337; nyelv, szemben a románnal és f&#337;leg az angollal. Lásd: &quot;pénzügyminiszter&quot; és nem &quot;pénzügyi miniszter&quot;. Ezért, ha lehet: &quot;AIDS-ellenes világnap&quot; (ez a hivatalos neve ennek) és nem &quot;AIDS elleni nemzetközi nap&quot;. És végképp nem &quot;nemzetközi világnap&quot;. : 0 : 
Sindicatul Na&#355;ional al Politi&#351;tilor &#351;i Personalului Contractual  SNPPC : Országos Rend&#337;r-Szakszervezet (egyel&#337;re s jobb híján) : 0 : 
Valea lui Cati, &#238;n comuna Ceanu Mare, jud. Cluj : Sárospatakd&#369;l&#337;, Mez&#337;csán községben, Kolozs megye : 0 :  (hn+ar)
&#351;ardu (jud. Cluj) : Magyarsárd (Kolozs megye) : 0 :  (hn+ar)
&#351;ardu (jud. Cluj) : Magyarsárd (Kolozs megye) : 0 :  (hn+ar)
&#351;aula (jud. Cluj) : Sárvásár (Kolozs megye) : 0 :  (hn+ar)
&#351;ig&#259;u (jud. Cluj) : Sajgó (Kolozs megye) : 0 :  (hn+ar)
&#351;omcutu Mic (jud. Cluj) : Kissomkút (Kolozs megye) : 0 :  (hn+ar)
&#351;utu (jud. Cluj) : Sütmeg (Kolozs megye) : 0 :  (hn+ar)
Aghire&#351;u-Fabrici (jud. Cluj) : Egeres-gyártelep (Kolozs megye) : 0 :  (hn+ar)
Bon&#355; (jud. Cluj) : Boncnyíres (Kolozs megye) : 0 :  (hn+ar)
Coble&#351;u Some&#351;an (jud. Cluj) : Magyarköblös (Kolozs megye) : 0 :  (hn+ar)
Cop&#259;cel (jud. Cluj) : Koppánd (Kolozs megye) : 0 :  (hn+ar)
Custura (jud. Cluj) : Dumbráva (Kolozs megye) : 0 :  (hn+ar)
D&#226;mburile (jud. Cluj) : Dombokfalva (Kolozs megye) : 0 :  (hn+ar)
Dosu Napului (jud. Cluj) : Oláhtóhát (Kolozs megye) : 0 :  (hn+ar)
F&#226;na&#355;e (jud. Cluj) : Csániszénaf&#369; (Kolozs megye) : 0 :  (hn+ar)
Hod&#259;i-Boian (jud. Cluj) : Mez&#337;b&#337;ifogadó (Kolozs megye) : 0 :  (hn+ar)
Leurda (jud. Cluj) : Leurda határrész (Kolozs megye) : 0 :  (hn+ar)
Mor&#355;e&#351;ti (jud. Cluj) : Morcest (Kolozs megye) : 0 :  (hn+ar)
Nire&#351; (jud. Cluj) : Nyíres (Kolozs megye) : 0 :  (hn+ar)
Ocna-Dejului (jud. Cluj) : Désakna (Kolozs megye) : 0 :  (hn+ar)
P&#259;dureni (jud. Cluj) : Fejérdi fogadók (Kolozs megye) : 0 :  (hn+ar)
Prelucele (jud. Cluj) : Prencsel d&#369;l&#337; (Kolozs megye) : 0 :  (hn+ar)
R&#226;&#351;ca (jud. Cluj) : Roska (Kolozs megye) : 0 :  (hn+ar)
S&#226;nmartin (jud. Cluj) : Szépkenyer&#369;szentmárton (Kolozs megye) : 0 :  (hn+ar)
S&#226;nncraiu (jud. Cluj) : Kalotaszentkirály (Kolozs megye) : 0 :  (hn+ar)
S&#226;ntejude-Vale (jud. Cluj) : Vasasszentegyedi völgy (Kolozs megye) : 0 :  (hn+ar)
Sc&#259;laia (jud. Cluj) : Kisszék (Kolozs megye) : 0 :  (hn+ar)
Silva&#351; (jud. Cluj) : Vízszilvás (Kolozs megye) : 0 :  (hn+ar)
Str&#238;mbu (jud. Cluj) : Horgospataka (Kolozs megye) : 0 :  (hn+ar)
Struncut (jud. Cluj) : Sztinkutd&#369;l&#337; (Kolozs megye) : 0 :  (hn+ar)
település Orman (jud. Cluj) : Ormány (Kolozs megye) : 0 :  (hn+ar)
Tritenii-Hotar (jud. Cluj) : Irisorai tanyák (Kolozs megye) : 0 :  (hn+ar)
Turma&#351;i (jud. Cluj) : Tormásd&#369;l&#337; (Kolozs megye) : 0 :  (hn+ar)
Uri&#351;or (jud. Cluj) : Al&#337;r (Kolozs megye) : 0 :  (hn+ar)
V&#259;leni (jud. Cluj) : Lárgatanya (Kolozs megye) : 0 :  (hn+ar)
V&#259;leni (jud. Cluj) : Magyarvalkó (Kolozs megye) : 0 :  (hn+ar)
V&#259;li&#351;oara (jud. Cluj) : Járarákos (Kolozs megye) : 0 :  (hn+ar)
V&#226;lcelele (jud. Cluj) : Bujdos (Kolozs megye) : 0 :  (hn+ar)
V&#226;n&#259;tori (jud. Cluj) : Börvény (Kolozs megye) : 0 :  (hn+ar)
Vad (jud. Cluj) : Révkolostor (Kolozs megye) : 0 :  (hn+ar)
Vaida-C&#259;m&#259;ra&#351; (jud. Cluj) : Vajdakamarás (Kolozs megye) : 0 :  (hn+ar)
Vale (jud. Cluj) : Bánffytótfalu (Kolozs megye) : 0 :  (hn+ar)
Valea Agri&#351;ului (jud. Cluj) : Egrespatak (Kolozs megye) : 0 :  (hn+ar)
Valea C&#259;&#351;ielului (jud. Cluj) : Kesiel (Kolozs megye) : 0 :  (hn+ar)
Valea Cald&#259; (jud. Cluj) : Melegvölgyitanya (Kolozs megye) : 0 :  (hn+ar)
Valea Cire&#351;oii (jud. Cluj) : Décseipataktanya (Kolozs megye) : 0 :  (hn+ar)
Valea Dr&#259;ganului (jud. Cluj) : Nagysebes (Kolozs megye) : 0 :  (hn+ar)
Valea Floriilor (jud. Cluj) : Virágosvölgy (Kolozs megye) : 0 :  (hn+ar)
Valea G&#226;rboului (jud. Cluj) : Gorbóvölgye (Kolozs megye) : 0 :  (hn+ar)
Valea Gro&#351;iilor (jud. Cluj) : T&#337;kepataka (Kolozs megye) : 0 :  (hn+ar)
Valea Ierii (jud. Cluj) : Járavize (Kolozs megye) : 0 :  (hn+ar)
Valea lui Cati (jud. Cluj) : Sárospatakd&#369;l&#337; (Kolozs megye) : 0 :  (hn+ar)
Valea lui Opri&#351; (jud. Cluj) : Oprisvölgy (Kolozs megye) : 0 :  (hn+ar)
Valea Luncii (jud. Cluj) : Lunkatanya (Kolozs megye) : 0 :  (hn+ar)
Valea Ungura&#351;ului (jud. Cluj) : Csabaújfalu (Kolozs megye) : 0 :  (hn+ar)
Valea Vadului (jud. Cluj) : Vádpatak (Kolozs megye) : 0 :  (hn+ar)
Vechea (jud. Cluj) : Bodonkút (Kolozs megye) : 0 :  (hn+ar)
Vi&#351;ea (jud. Cluj) : Visa (Kolozs megye) : 0 :  (hn+ar)
Vii&#351;oara (jud. Cluj) : Aranyosegerbegy (Kolozs megye) : 0 :  (hn+ar)
Vistea (jud. Cluj) : Magyarvista (Kolozs megye) : 0 :  (hn+ar)
Vlaha (jud. Cluj) : Magyarfenes (Kolozs megye) : 0 :  (hn+ar)
Vultureni (jud. Cluj) : Borsaújfalu (Kolozs megye) : 0 :  (hn+ar)
&#354;e&#355;chea (jud. Bihor) : Cécke (Bihar megye) : 0 :  (hn+ar)
&#355;ig&#259;ne&#351;tii de Cri&#351; (jud. Bihor) : Cigányfalva (Bihar megye) : 0 :  (hn+ar)
&#351;auaieu (jud. Bihor) : Biharsályi (Bihar megye) : 0 :  (hn+ar)
&#351;erani (jud. Bihor) : Sárán (Bihar megye) : 0 :  (hn+ar)
&#351;erghi&#351; (jud. Bihor) : Serges (Bihar megye) : 0 :  (hn+ar)
&#351;i&#351;terea (jud. Bihor) : Siter (Bihar megye) : 0 :  (hn+ar)
&#351;ilindru (jud. Bihor) : &Eacute;rselénd (Bihar megye) : 0 :  (hn+ar)
&#351;inteu (jud. Bihor) : Sólyomk&#337;vár (Bihar megye) : 0 :  (hn+ar)
&#351;oimi (jud. Bihor) : Sólyom (Bihar megye) : 0 :  (hn+ar)
&#351;u&#351;tiu (jud. Bihor) : Susd (Bihar megye) : 0 :  (hn+ar)
&#351;u&#351;torogi (jud. Bihor) : Sitervölgy (Bihar megye) : 0 :  (hn+ar)
&#351;umugiu (jud. Bihor) : Váraduzsopa (Bihar megye) : 0 :  (hn+ar)
&#351;uncui&#351; (jud. Bihor) : Belényessonkolyos (Bihar megye) : 0 :  (hn+ar)
&#351;uncuiu&#351; (jud. Bihor) : Vársonkolyos (Bihar megye) : 0 :  (hn+ar)
B&#259;i&#355;a-Plai (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
B&#259;ile 1 Mai (jud. Bihor) : Püspökfürd&#337; vagy Május 1. Fürd&#337; (Bihar megye) : 0 :  (hn+ar)
B&#226;lc (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Br&#259;te&#351;ti (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
C&#226;mp-Mo&#355;i (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Che&#351;ereu (jud. Bihor) : &Eacute;rkeser&#369; (Bihar megye) : 0 :  (hn+ar)
Codru (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Goila (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Iteu Nou (jud. Bihor) : Újlüki vagy Kislüki (Bihar megye) : 0 :  (hn+ar)
Lacu S&#259;rat (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Lazuri (jud. Bihor) : Lázurihegy (Bihar megye) : 0 :  (hn+ar)
Livada Beiu&#351;ului (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Munteni (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Ortiteag (jud. Bihor) : &Uuml;rgeteg (Bihar megye) : 0 :  (hn+ar)
P&#259;c&#259;le&#351;ti (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Pe&#351;ti&#351; (jud. Bihor) : Sólyomk&#337;pestes vagy Köröspestes (Bihar megye) : 0 :  (hn+ar)
Petrani (jud. Bihor) : Pontosk&#337; (Bihar megye) : 0 :  (hn+ar)
R&#259;ca&#351; (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
Rohani (jud. Bihor) : ??? (Bihar megye) : 0 :  (hn+ar)
S&#259;cueni (jud. Bihor) : Székelyhíd (Bihar megye) : 0 :  (hn+ar)
Satu Nou (jud. Bihor) : Kügypuszta vagy Kügyipuszta (Bihar megye) : 0 :  (hn+ar)
Ursad (jud. Bihor) : Urszád (Bihar megye) : 0 :  (hn+ar)
Urvi&#351; de Beiu&#351; (jud. Bihor) : Belényesörvényes (Bihar megye) : 0 :  (hn+ar)
Urvind (jud. Bihor) : &Ouml;rvénd (Bihar megye) : 0 :  (hn+ar)
V&#259;&#351;ad (jud. Bihor) : &Eacute;rvasad (Bihar megye) : 0 :  (hn+ar)
V&#259;lani de Pomezeu (jud. Bihor) : Papmez&#337;valány (Bihar megye) : 0 :  (hn+ar)
V&#259;lanii de Beiu&#351; (jud. Bihor) : Belényesvalány (Bihar megye) : 0 :  (hn+ar)
V&#259;r&#259;&#351;eni (jud. Bihor) : Veresfalva (Bihar megye) : 0 :  (hn+ar)
V&#259;rzari (jud. Bihor) : Füves (Bihar megye) : 0 :  (hn+ar)
V&#259;rzarii de Jos (jud. Bihor) : Alsófüves (Bihar megye) : 0 :  (hn+ar)
V&#259;rzarii de Sus (jud. Bihor) : Fels&#337;füves (Bihar megye) : 0 :  (hn+ar)
V&#226;lcelele (jud. Bihor) : Blágarét (Bihar megye) : 0 :  (hn+ar)
V&#226;rciorog (jud. Bihor) : Vércsorog (Bihar megye) : 0 :  (hn+ar)
Vaida (jud. Bihor) : Biharvajda (Bihar megye) : 0 :  (hn+ar)
Valea Cerului (jud. Bihor) : Cserpatak (Bihar megye) : 0 :  (hn+ar)
Valea de Jos (jud. Bihor) : Alsófeketevölgy (Bihar megye) : 0 :  (hn+ar)
Valea de Sus (jud. Bihor) : Fels&#337;feketevölgy (Bihar megye) : 0 :  (hn+ar)
Valea Mare de Codru (jud. Bihor) : Alsópatak (Bihar megye) : 0 :  (hn+ar)
Valea T&#226;rnei (jud. Bihor) : Hármaspatak (Bihar megye) : 0 :  (hn+ar)
Varas&#259;u (jud. Bihor) : Varaszótanya (Bihar megye) : 0 :  (hn+ar)
Varviz (jud. Bihor) : Várvíz (Bihar megye) : 0 :  (hn+ar)
Vii&#351;oara (jud. Bihor) : &Eacute;rsz&#337;ll&#337;s (Bihar megye) : 0 :  (hn+ar)
Vintere (jud. Bihor) : Venter (Bihar megye) : 0 :  (hn+ar)
Voivozi (jud. Bihor) : &Eacute;rkenéz (Bihar megye) : 0 :  (hn+ar)
Z&#259;voiu (jud. Bihor) : Törpefalva (Bihar megye) : 0 :  (hn+ar)
Zece Hotare (jud. Bihor) : Révtízfalu (Bihar megye) : 0 :  (hn+ar)
&#355;ufal&#259;u (jud. Covasna) : Cófalva (Kovászna megye) : 0 :  (hn+ar)
Aita Seac&#259; (jud. Covasna) : Szárazajta (Kovászna megye) : 0 :  (hn+ar)
Araci, községközpont (jud. Covasna) : &Aacute;rapatak (Kovászna megye) : 0 :  (hn+ar)
Br&#259;det (jud. Covasna) : Fenyvespataka, Bredéttelep (Kovászna megye) : 0 :  (hn+ar)
Haghig (jud. Covasna) : Hídvég (Kovászna megye) : 0 :  (hn+ar)
S&#259;r&#259;ma&#351; (jud. Covasna) : Szaramás (Kovászna megye) : 0 :  (hn+ar)
V&#226;lcele (jud. Covasna) : El&#337;patak (Kovászna megye) : 0 :  (hn+ar)
Valea Cri&#351;ului (jud. Covasna) : Sepsik&#337;röspatak (Kovászna megye) : 0 :  (hn+ar)
Valea Dob&#226;rl&#259;ului (jud. Covasna) : Dobollópatak (Kovászna megye) : 0 :  (hn+ar)
Valea Mare (jud. Covasna) : Nagypatak (Kovászna megye) : 0 :  (hn+ar)
Valea Mic&#259; (jud. Covasna) : Kispatak (Kovászna megye) : 0 :  (hn+ar)
Valea Scurt&#259; (jud. Covasna) : Kurtapatak (Kovászna megye) : 0 :  (hn+ar)
Valea Seac&#259; (jud. Covasna) : Kézdiszárazpatak (Kovászna megye) : 0 :  (hn+ar)
Valea Z&#259;lanului (jud. Covasna) : Zalánpatak (Kovászna megye) : 0 :  (hn+ar)
Z&#259;br&#259;t&#259;u (jud. Covasna) : Zabratópatak (Kovászna megye) : 0 :  (hn+ar)
Z&#259;lan (jud. Covasna) : Zalán (Kovászna megye) : 0 :  (hn+ar)
&#355;engheler (jud. Harghita) : Cengellér (Hargita megye) : 0 :  (hn+ar)
&#351;a&#351;vere&#351; (jud. Harghita) : Sásverés (Hargita megye) : 0 :  (hn+ar)
&#351;icas&#259;u (jud. Harghita) : Sikaszó (Hargita megye) : 0 :  (hn+ar)
&#351;oimeni (jud. Harghita) : Csíkcsomortán (Hargita megye) : 0 :  (hn+ar)
&#351;oimu&#351;u Mare (jud. Harghita) : Nagysolymos (Hargita megye) : 0 :  (hn+ar)
&#351;oimu&#351;u Mic (jud. Harghita) : Kissolymos (Hargita megye) : 0 :  (hn+ar)
Arm&#259;&#351;eni (jud. Harghita) : Csíkménaság (Hargita megye) : 0 :  (hn+ar)
B&#259;ile Chirui (jud. Harghita) : Kirulyfürd&#337; (Hargita megye) : 0 :  (hn+ar)
B&#226;rzava (jud. Harghita) : Csíkborzsova (Hargita megye) : 0 :  (hn+ar)
Bancu (jud. Harghita) : Csíkbánkfalva (Hargita megye) : 0 :  (hn+ar)
Ciceu (jud. Harghita) : Csíkcsicsó (Hargita megye) : 0 :  (hn+ar)
Ciucani (jud. Harghita) : Csíkcsekefalva (Hargita megye) : 0 :  (hn+ar)
Ciucs&#226;ngeorgiu (jud. Harghita) : Csíkszentgyörgy (Hargita megye) : 0 :  (hn+ar)
Cozmeni (jud. Harghita) : Csíkkozmás (Hargita megye) : 0 :  (hn+ar)
Cr&#259;ciunel (jud. Harghita) : Homoródkarácsonyfalva (Hargita megye) : 0 :  (hn+ar)
Cristuru  Secuiesc (jud. Harghita) : Székelykeresztúr (Hargita megye) : 0 :  (hn+ar)
D&#259;ne&#351;ti (jud. Harghita) : Csíkdánfalva (Hargita megye) : 0 :  (hn+ar)
Delni&#355;a (jud. Harghita) : Csíkdelne (Hargita megye) : 0 :  (hn+ar)
Frumoasa (jud. Harghita) : Csíkszépvíz (Hargita megye) : 0 :  (hn+ar)
Ineu (jud. Harghita) : Csíkjen&#337;falva (Hargita megye) : 0 :  (hn+ar)
Izvorul Trotu&#351;ului (jud. Harghita) : Sántatelek (Hargita megye) : 0 :  (hn+ar)
Laz-&#351;oimu&#351; (jud. Harghita) : Solymosiláz (Hargita megye) : 0 :  (hn+ar)
Laz-Firt&#259;nu&#351; (jud. Harghita) : Firtosiláz (Hargita megye) : 0 :  (hn+ar)
Leliceni (jud. Harghita) : Csíkszentlélek (Hargita megye) : 0 :  (hn+ar)
M&#259;d&#259;ra&#351; (jud. Harghita) : Csíkmadaras (Hargita megye) : 0 :  (hn+ar)
Miercurea-Ciuc (jud. Harghita) : Csíkszereda (Hargita megye) : 0 :  (hn+ar)
Mih&#259;ileni (jud. Harghita) : Csíkszentmihály (Hargita megye) : 0 :  (hn+ar)
Misentea (jud. Harghita) : Csíkmindszent (Hargita megye) : 0 :  (hn+ar)
Nicole&#351;ti (jud. Harghita) : Csíkszentmiklós (Hargita megye) : 0 :  (hn+ar)
Odorheiu  Secuiesc (jud. Harghita) : Székelyudvarhely (Hargita megye) : 0 :  (hn+ar)
P&#259;ltini&#351;-Ciuc (jud. Harghita) : Nyíresalja (Hargita megye) : 0 :  (hn+ar)
P&#259;uleni-Ciuc (jud. Harghita) : Csíkpálfalva (Hargita megye) : 0 :  (hn+ar)
Pl&#259;ie&#351;ii de Jos (jud. Harghita) : Kászonaltíz (Hargita megye) : 0 :  (hn+ar)
Pl&#259;ie&#351;ii de Sus (jud. Harghita) : Kászonfeltíz (Hargita megye) : 0 :  (hn+ar)
Racu (jud. Harghita) : Csíkrákos (Hargita megye) : 0 :  (hn+ar)
S&#226;ncr&#259;ieni (jud. Harghita) : Csíkszentkirály (Hargita megye) : 0 :  (hn+ar)
S&#226;ndominic (jud. Harghita) : Csíkszentdomokos (Hargita megye) : 0 :  (hn+ar)
S&#226;nmartin (jud. Harghita) : Csíkszentmárton (Hargita megye) : 0 :  (hn+ar)
S&#226;nsimion (jud. Harghita) : Csíkszentsimon (Hargita megye) : 0 :  (hn+ar)
S&#226;ntimbru (jud. Harghita) : Csíkszentimre (Hargita megye) : 0 :  (hn+ar)
S&#226;ntimbru-B&#259;i (jud. Harghita) : Csíkszentimrei Büdösfürd&#337; (Hargita megye) : 0 :  (hn+ar)
Simone&#351;ti (jud. Harghita) : Siménfalva (Hargita megye) : 0 :  (hn+ar)
Tome&#351;ti (jud. Harghita) : Csíkszenttamás (Hargita megye) : 0 :  (hn+ar)
Topli&#355;a (jud. Harghita) : Maroshévíz (Hargita megye) : 0 :  (hn+ar)
Ulcani (jud. Harghita) : &Uuml;lke (Hargita megye) : 0 :  (hn+ar)
V&#259;c&#259;re&#351;ti (jud. Harghita) : Vacsárcsi (Hargita megye) : 0 :  (hn+ar)
V&#259;leni (jud. Harghita) : Patakfalva (Hargita megye) : 0 :  (hn+ar)
V&#226;gani (jud. Harghita) : Vugány (Hargita megye) : 0 :  (hn+ar)
Vale (jud. Harghita) : Válya (Hargita megye) : 0 :  (hn+ar)
Valea Boro&#351; (jud. Harghita) : Borospataka (Hargita megye) : 0 :  (hn+ar)
Valea Capelei (jud. Harghita) : Kápolnapataka (Hargita megye) : 0 :  (hn+ar)
Valea G&#226;rbea (jud. Harghita) : Görbepataka (Hargita megye) : 0 :  (hn+ar)
Valea Întunecoas&#259; (jud. Harghita) : Sötétpatak (Hargita megye) : 0 :  (hn+ar)
Valea lui Antaloc (jud. Harghita) : Antalokpataka (Hargita megye) : 0 :  (hn+ar)
Valea lui Pavel (jud. Harghita) : Pálpataka (Hargita megye) : 0 :  (hn+ar)
Valea Rece (jud. Harghita) : Hidegség (Hargita megye) : 0 :  (hn+ar)
Valea Rotund&#259; (jud. Harghita) : &Uuml;knyéd (Hargita megye) : 0 :  (hn+ar)
Valea Str&#226;mb&#259; (jud. Harghita) : Teker&#337;patak (Hargita megye) : 0 :  (hn+ar)
Valea Ugra (jud. Harghita) : Ugrapataka (Hargita megye) : 0 :  (hn+ar)
Valea Uzului (jud. Harghita) : &Uacute;zvölgye (Hargita megye) : 0 :  (hn+ar)
Vargatac (jud. Harghita) : Vargatag (Hargita megye) : 0 :  (hn+ar)
Vasileni (jud. Harghita) : Homoródszentlászló (Hargita megye) : 0 :  (hn+ar)
Vid&#259;cut (jud. Harghita) : Hidegkút (Hargita megye) : 0 :  (hn+ar)
Visafolio (jud. Harghita) : Visszafolyó (Hargita megye) : 0 :  (hn+ar)
Vo&#351;l&#259;beni (jud. Harghita) : Vasláb (Hargita megye) : 0 :  (hn+ar)
Vrabia (jud. Harghita) : Csíkverebes (Hargita megye) : 0 :  (hn+ar)
Z&#259;podea (jud. Harghita) : Zapodéa (Hargita megye) : 0 :  (hn+ar)
Zencani (jud. Harghita) : Zsákhegy (Hargita megye) : 0 :  (hn+ar)
USAMV Universitatea de &#350;tiin&#355;e Agricole &#351;i Medicin&#259; Veterinar&#259; : Agrártudományi és állatorvosi Egyetem : 0 : 
